# Gamma point (q-point index 0)
q-point: [0.0000, 0.0000, 0.0000]
Space group: Pm-3m
Point group: m-3m

# qx      qy      qz      band  freq(THz)   freq(cm-1)   label        IR  Raman
 0.0000  0.0000  0.0000     0     -2.4595       -82.04  T1u          Y    .  
 0.0000  0.0000  0.0000     1     -2.4595       -82.04  T1u          Y    .  
 0.0000  0.0000  0.0000     2     -2.4595       -82.04  T1u          Y    .  
 0.0000  0.0000  0.0000     3      0.0000         0.00  T1u          Y    .  
 0.0000  0.0000  0.0000     4      0.0000         0.00  T1u          Y    .  
 0.0000  0.0000  0.0000     5      0.0000         0.00  T1u          Y    .  
 0.0000  0.0000  0.0000     6      6.4306       214.50  T2u          .    .  
 0.0000  0.0000  0.0000     7      6.4306       214.50  T2u          .    .  
 0.0000  0.0000  0.0000     8      6.4306       214.50  T2u          .    .  
 0.0000  0.0000  0.0000     9     12.9468       431.86  T1u          Y    .  
 0.0000  0.0000  0.0000    10     12.9468       431.86  T1u          Y    .  
 0.0000  0.0000  0.0000    11     12.9468       431.86  T1u          Y    .  
 0.0000  0.0000  0.0000    12     24.0334       801.67  T1u          Y    .  
 0.0000  0.0000  0.0000    13     24.0334       801.67  T1u          Y    .  
 0.0000  0.0000  0.0000    14     24.0334       801.67  T1u          Y    .  

# X point (q-point index 20)
q-point: [0.0000, 0.5000, 0.0000]
Space group: Pm-3m
Point group: m-3m

# qx      qy      qz      band  freq(THz)   freq(cm-1)   label
 0.0000  0.5000  0.0000     0     -0.9849       -32.85  X5-       
 0.0000  0.5000  0.0000     1     -0.9849       -32.85  X5-       
 0.0000  0.5000  0.0000     2      5.3125       177.21  X5+       
 0.0000  0.5000  0.0000     3      5.3125       177.21  X5+       
 0.0000  0.5000  0.0000     4      6.9712       232.53  X3-       
 0.0000  0.5000  0.0000     5      8.9135       297.32  X2+       
 0.0000  0.5000  0.0000     6      9.0680       302.47  X5-       
 0.0000  0.5000  0.0000     7      9.0680       302.47  X5-       
 0.0000  0.5000  0.0000     8     11.4166       380.82  X1+       
 0.0000  0.5000  0.0000     9     12.2819       409.68  X5+       
 0.0000  0.5000  0.0000    10     12.2819       409.68  X5+       
 0.0000  0.5000  0.0000    11     19.0577       635.70  X1+       
 0.0000  0.5000  0.0000    12     23.2956       777.06  X3-       
 0.0000  0.5000  0.0000    13     23.8911       796.92  X5+       
 0.0000  0.5000  0.0000    14     23.8911       796.92  X5+       

# M point (q-point index 40)
q-point: [0.5000, 0.5000, 0.0000]
Space group: Pm-3m
Point group: m-3m

# qx      qy      qz      band  freq(THz)   freq(cm-1)   label
 0.5000  0.5000  0.0000     0     -7.2756      -242.69  M2+       
 0.5000  0.5000  0.0000     1      1.3810        46.07  M5-       
 0.5000  0.5000  0.0000     2      1.3810        46.07  M5-       
 0.5000  0.5000  0.0000     3      1.5454        51.55  M3-       
 0.5000  0.5000  0.0000     4      9.4276       314.47  M5-       
 0.5000  0.5000  0.0000     5      9.4276       314.47  M5-       
 0.5000  0.5000  0.0000     6      9.8094       327.21  M5+       
 0.5000  0.5000  0.0000     7      9.8094       327.21  M5+       
 0.5000  0.5000  0.0000     8     11.0173       367.50  M2-       
 0.5000  0.5000  0.0000     9     15.4368       514.92  M1+       
 0.5000  0.5000  0.0000    10     17.5202       584.41  M5-       
 0.5000  0.5000  0.0000    11     17.5202       584.41  M5-       
 0.5000  0.5000  0.0000    12     18.6854       623.28  M3+       
 0.5000  0.5000  0.0000    13     23.7334       791.66  M2-       
 0.5000  0.5000  0.0000    14     24.9921       833.65  M4+       

